type,tweet
ESFP,i like having se as my dominant function ive never thought that people should spend their lives waiting for something to happen or thinking in the future they should just enjoy the moment that
ESTJ,TBH I guess we shouldve expected it joining a community that stereotypes everyone into 16 different personalities That kind of mentality would probably attract a whole lot of redpill types
ESTJ,"If you are fee like like a boss and rolling in the cash, you could look into getting some Meraki Gear th"
ESTJ,I cry alone in my bedroom as night over my failures And the next morning I write a to do list
ESTP,i got ambushed with the camera while chilling at my friends place this weekend ok no more smiling this is
ESTP,I wouldnt care Itd be based on if I was done doing what I was doing on my phone Everyone poops who cares
ESTP,dont take the advice of the person above me thats nonsense you get nowhere playing petty games like a kid you dont need to ask to follow him just go ahead and do it keep a casual mentality
INFJ,Initially probably But only until Ive heard them speak Im more interested in them being able to talk to me is what Im saying Im barely interested at all until I know if they can talk
INFJ,well you will get some that address humanitys shortcomings for sure most of those i listed do that actually and potentialbad solutions but as for actual real viable solutions i think
INFJ,i had a dream the other night that i reconciled with a person ive held a grudge against for years in this dream i was for some reason in their city in their house i was stuck in there i needed
INFP,since you are the last person to show her face ill rate you tongue 810 at least you seem lovely right now for mine 153418 never looks at this thread again
INFP,hey i have read all that you said and first i want to say i really appreciate your long message but mine will not be that long because i really need to sleep now i would point out this i
INFP,i feel like mel gibsons brother in signsim not crazy damn it laughing i honestly do think that when you look at all that art and put all of these variables into perspective it makes it
INTJ,personality type theory might be speculation and it does have zero scientific studies supporting it in saying that so does a lot of psychology despite this it is still useful to us because it
INTJ,gt Especially when it comes to guys from Tinder I get annoyed when I get complimented on my looks first instead of my wellwritten and crafted Tinder profile sorry but tinder is all about looks girls can afford to make fantasies about how their quirky bio changes things but as a man I can tell you it doesnt
INTJ,The way I solve this is by being the photographer Almost never any photos of me and I get to decide what gets digitized
INTP,It has to do with conversation length I can fake interest in a conversation for about 10 minutes at most Then I will carefully craft the conversation to either whined down so I can just walk away or I will keep asking you questions to figure out how you think and force you to think deeper if I like you
INTP,Be a nerd and youll find a mate whos another nerd NT or NF types Itll get better
INTP,i only recently started growing my facial hair out its rather annoying to me but i like the aesthetics of it i use a trimmer like themorning linked and tend to keep my facial hair at a pretty
ISFJ,uhhhhhhhhhhh i cant even have you seen the stuff weve replied to constructive stuff is fine your stuff is fine its an opinion that you can at least partially back up it doesnt apply to all
ISFJ,Yeah I know what you mean If you get invited somewhere you can just say you live to far awayIve had a long day so im just gonna go home There isnt much peer pressure after high school so they wont make you go if you dont want to P
ISFJ,to give purpose to our world as a species weve always felt the need to understand the things happening around us for the longest time our science wasnt up to the task so we wrote it all off
ISFP,Oh are you watching the English dub that is currently airingOr did you just a start The original Hunter X Hunter 2011 ended like 23 years ago Although the series as a whole is still ongoing Manga just resumed on the 26th lolprobably going back to hiatus after a few chapters like always
ISFP,ah i love anime i always wanted to make my own story if only i wouldnt get so bored with it after a couple of days but yea anything to do with drawing has interested me but i have only
ISFP,gt This has to be a TiFe and FeTi thing right NoI do it all the time Im FiSe I think its just people who are naturally hilarious
ISTJ,No worries What kind of research have you done to determine which type of audience friends vs strangers would be more helpful I think itd be a lot more persuasive if you had statistics backing you up to show potential customers that your proposal actually works
ISTJ,I think I strike a fair balance at work My office door is closed while most others keep theirs open unless theyre meeting with a stakeholder but I have this tacked on the door
ISTJ,i am stubborn i can budge on things i dont care to budge on which is a lot but if i dont want to do something i wont do it
ISTP,Im sorry for the wrong info I used to be attracted to her And at that time she didnt seem so dumb to me cuz I was literally infatuated with her Only when the crush started to go away after a few months I realised how she really was
ISTP,hi i can relate to the depression thing myself in fact this is a very hard time of year for me and always worse around the holidays i have taken three kinds antidepressants and i am still
ISTP,I am from a small town called Europe We still drive only old cars and nobody has any money because its not America And we watch weird sports like Soccer But who cares cause its only played in countries that dont matter America is the greatest most freedom country in the world
