type,tweet
ENFP,very much so I live for the future Am deeply unhappy about my current life and am constantly planning a future where I have everything I want
ENTJ,i can partially conclude since the sample is not big enough that the assumptions were wrong nt women arent more seductive and charming than other types
ENTJ,one single thread can be quite enough for the ntp matters in question just rename it or create a new one and youll get your result simple as that
ENTP,wooow i was joking when i posted that last year was waiting for a new album
ENTP,Im not a smartass Im always right Any other conclusion is inferiour after Ive analyzed 2749 possible outcomes
ESFJ,im only seeing this now xd congratulations mooni i want to be like you someday becausewhynot you have some catching up to do
ESFJ,Perhaps I might need to do some soulsearching and talking to a professional could help as well Thank you
ESFP,It depends on the day Both of my jobs require constant interaction with lots of people so I dont really have a choice in that I dont mind though
ESFP,contender personally i like the sound of being a survivor the most need to get more survivory i think but i like the sound of working
ESTJ,Seriously! She had labored for 36 hours and said that 5 minutes was worse than all of it combined. I cant even imagine.
ESTJ,Well we find common ground But I dont think that rioting and property destruction is going to solve the problem
ESTP,Maybe hes simply not ready to get too close to you yet I dont think joking around to make you laugh is necessarily a sign of a special treat from him
ESTP,I overthink when Im alone at home for more than one day but then I go out and do shit and I forget about it
INFJ,Sorry that you have to deal with that but Im glad you found another path you could take your career instead Thank you for your response Ill keep that in mind
INFJ,dear goaty you made my day unimaginably happy with your witty posts xd sincerely happy darkstar
INFP,love is love 3 gigglez heheheh nothin like a sweet lovely girl that can turn me into a puddle of pink goo and rainbow sprinkles
INFP,explorer i shall explore earth for myself mostly lol and then space being enthralled by the thrill of discovery is something that appeals to me a lot
INTJ,abstract essence what does it mean to you changing type temperament can be modified through kundalini yoga whether you are energetic or not depends on your breathing pattern energetic types
INTJ,I guess the worst result is she says no and we never talk again but youre right I will move on
INTP,Im very pragmatic and I can feel in my gut when someone has made a logical error without having to think about it
ISFJ,Haha I do this multiple times a day at work My coworker is extremely extroverted and doesnt quite grasp
INTP,I will probably skew the results since Im British and we drink at least 20 cups of tea a day
ISFP,I have one constantly To people that dont how do you not get bored I feel like mine keeps me entertained a lot of the time
ISFP,cats in general for me i think theyre gorgeous calm most of the time graceful and cute
ISTJ,indifferent towards the type of pencil as long as the eraser works decently prefer print for every day writing only cursive when its required
ISTJ,whoa now just because i like rope and leather and chains doesnt mean i uh nvm
ISTP,I can usually tell within about 510 seconds if I want to listen to the song
ISTP,Yeah I notice I do it often it annoys some of the ladies I talk to
ISFJ,holy moley this post is gonna be revealing how easily do you trust people was there any event assuming you are weary of people that made you cautious i dont trust people at all

